labels	source	f	m	kw_s	kw_f	kw_m	data_split
SCMP;SUBJ;PROF	But if you're a marine biologist, Maldives is not such a bad place to be.	Pero para una bióloga marina, Maldivas no es un lugar tan malo.	Pero para un biólogo marino, Maldivas no es un lugar tan malo.	marine [biologist]	una [bióloga] marina	un [biólogo] marino	test
SUBJ;PROF	The teacher did not have it.	La profesora no la tenía.	El profesor no la tenía.	teacher	la [profesora]	el [profesor]	test
SUBJ;OTH;AATR;PPA	The obsessed fan wanted to have a beautiful girlfriend looking like the television star.	La admiradora obsesionada quería encontrar una bonita novia que se pareciera a la estrella de televisión.	El admirador obsesionado quería encontrar una bonita novia que se pareciera a la estrella de televisión.	obsessed [fan]	la [admiradora] obsesionada	el [admirador] obsesionado	test
SUBJ;PROF	The previous speaker has made the point: it is complex, confusing and, furthermore, it is sometimes based on scientific knowledge that was perhaps all right at the time but is now outdated.	La oradora que me ha precedido ha señalado la cuestión: se trata de un texto complejo, confuso y, además, en ocasiones se basa en un conocimiento científico que era el aceptado en su época pero que hoy está obsoleto.	El orador que me ha precedido ha señalado la cuestión: se trata de un texto complejo, confuso y, además, en ocasiones se basa en un conocimiento científico que era el aceptado en su época pero que hoy está obsoleto.	speaker	la [oradora]	el [orador]	test
FRAG;SUBJ;PROF	Goalkeeper touches the penalty kick but ball ends up as goal;	La portera toca el balón pero termina en gol;	El portero toca el balón pero termina en gol;	goalkeeper	la [portera]	el [portero]	test
SUBJ;PROF;PLUR;AATR;PPA;PLUR	These executives are too busy.	Estas ejecutivas están muy ocupadas.	Estos ejecutivos están muy ocupados.	these [executives]=too busy	estas [ejecutivas]=muy ocupadas	estos [ejecutivos]=muy ocupados	test
QUES;OPRP;FAM;REL	Isn't it the best way out for a Jewish orphan?	¿No es la mejor salida para una huérfana judía?	¿No es la mejor salida para un huérfano judío?	jewish [orphan]	una [huérfana] judía	un [huérfano] judío	test
SUBJ;OTH	At present, the defendant forgoes the formulation of any particular form of order.	En el presente momento, la demandada renuncia a formular una pretensión determinada.	En el presente momento, el demandado renuncia a formular una pretensión determinada.	defendant	la [demandada]	el [demandado]	test
SCMP;SUBJ;DROP;SCMP;AATR;SCMP;AATR;DFCL	Some people say I'm crazy; but they don't really understand that I'm creative.	Hay quienes dicen que estoy loca; pero no entienden en realidad que soy creativa.	Hay quienes dicen que estoy loco; pero no entienden en realidad que soy creativo.	I=crazy=creative	(yo)=loca=creativa	(yo)=loco=creativo	test
SUBJ;ANAN;PROF	Every intelligent general should ask himself this question: what is the objective?	Toda general inteligente debe hacerse esta pregunta: ¿Cuál es el objetivo?	Todo general inteligente debe hacerse esta pregunta: ¿Cuál es el objetivo?	every intelligent [general]	toda [general] inteligente	todo [general] inteligente	test
SUBJ;PROF;RSCMP;OTH	A passenger in a triple car accident was the only one injured.	Una pasajera en un accidente triple fue la única lesionada.	Un pasajero en un accidente triple fue el único lesionado.	passenger=only one [injured]	una [pasajera]=la única [lesionada]	un [pasajero]=el único [lesionado]	test
SUBJ;PROF	Your representative on the Committee said that the Commission would repeal this provision!	Su interlocutora en el Comité dijo que la Comisión derogaría esta disposición.	Su interlocutor en el Comité dijo que la Comisión derogaría esta disposición.	representative	interlocutora	interlocutor	test
IOBJ;FAM;PLUR;DIFF	My cousins didn't like the party, so we left as soon as we arrived.	A mis primas nos les gustó la fiesta, así que nos fuimos recién haber llegado.	A mis primos nos les gustó la fiesta, así que nos fuimos recién haber llegado.	cousins	primas	primos	test
SUBJ;PROF;POSS;POSC	That baker of yours is a talent.	Esa panadera tuya es un talento.	Ese panadero tuyo es un talento.	that [baker] of yours	esa [panadera] tuya	ese [panadero] tuyo	test
IOBJ;FAM;PLUR	Yearly Challenge: Remember to give children opportunities to share what they are learning from their scripture reading (see January, week 2).	Desafío para el año: Recuerde brindar a las niñas oportunidades para compartir lo que están aprendiendo de su lectura de las Escrituras (véase enero, semana 2).	Desafío para el año: Recuerde brindar a los niños oportunidades para compartir lo que están aprendiendo de su lectura de las Escrituras (véase enero, semana 2).	children	las [niñas]	los [niños]	test
SUBJ;FAM	Your friend or family member overseas is waiting for your call.	Tu amiga o miembro de la familia residente en el extranjero está esperando tu llamada.	Tu amigo o miembro de la familia residente en el extranjero está esperando tu llamada.	friend	amiga	amigo	test
SUBJ;PROF	The lawyer and the woman are out there.	La abogada y la mujer están ahí afuera.	El abogado y la mujer están ahí afuera.	lawyer	la [abogada]	el [abogado]	test
SUBJ;PROF	No president can eliminate the work requirement	Ninguna presidenta puede eliminar el requerimiento de trabajo.	Ningún presidente puede eliminar el requerimiento de trabajo.	no [president]	ninguna [presidenta]	ningún [presidente]	test
IOBJ;OTH;PLUR	Let's wait a bit, let's give the adulterers time to undress.	Esperemos un poco, démosles tiempo a las adúlteras de que se desvistan.	Esperemos un poco, démosles tiempo a los adúlteros de que se desvistan.	adulterers	las [adúlteras]	los [adúlteros]	test
SUBJ;PROF;PLUR;PLUR	Those two tall, lean workers came very early this morning.	Esas dos trabajadoras altas y delgadas vinieron a trabajar muy temprano esta mañana.	Esos dos trabajadores altos y delgados vinieron a trabajar muy temprano esta mañana.	those two tall=lean [workers]	esas dos [trabajadoras] altas=delgadas	esos dos [trabajadores] altos=delgados	test
PROF	But perhaps, for me as a chemist, I want think about specifics, not so much in general terms.	Pero quizás, para mí, como química, quiero pensar en lo específico, no tanto en lo general.	Pero quizás, para mí, como químico, quiero pensar en lo específico, no tanto en lo general.	chemist	química	químico	test
SUBJ;PROF	A mad scientist tries to create a drug for immortality.	Una científica loca intenta crear un medicamento para la inmortalidad.	Un científico loco intenta crear un medicamento para la inmortalidad.	mad [scientist]	una [científica] loca	un [científico] loco	test
SUBJ;PROF;PLUR	The same community producers cooperated in the two investigations (see recital 8).	Las mismas productoras comunitarias cooperaron en las dos investigaciones (véase el considerando 8).	Los mismos productores comunitarios cooperaron en las dos investigaciones (véase el considerando 8).	same community [producers]	las mismas [productoras] comunitarias	los mismos [productores] comunitarios	test
SUBJ;PROF;PLUR;AATR;PPA;PLUR	These farm workers are paid a pittance, it is an unforgivable shame.	Estas campesinas son pagadas una miseria, es una vergüenza imperdonable.	Estos campesinos son pagados una miseria, es una vergüenza imperdonable.	these [farm workers]=paid	estas [campesinas]=pagadas	estos [campesinos]=pagados	test
OPRP;OTH	The owner is very upset about the death of her employee.	La dueña está muy afectada por la muerte de su empleada.	La dueña está muy afectada por la muerte de su empleado.	employee	empleada	empleado	test
SUBJ;PROF;PLUR	Under this regulation, design engineers will have to comply with stricter standards and to prove this compliance through various crash tests.	Con arreglo a este Reglamento, las ingenieras responsables del diseño tendrán que cumplir unas normas más estrictas y certificar el cumplimiento de las mismas a través de diversas pruebas de colisión.	Con arreglo a este Reglamento, los ingenieros responsables del diseño tendrán que cumplir unas normas más estrictas y certificar el cumplimiento de las mismas a través de diversas pruebas de colisión.	design [engineers]	las [ingenieras] responsables del diseño	los [ingenieros] responsables del diseño	test
SUBJ;PROF	The owner will help you for organizing sport activities and guided tours.	La propietaria puede organizar actividades deportivas y visitas guiadas.	El propietario puede organizar actividades deportivas y visitas guiadas.	owner	la [propietaria]	el [propietario]	test
SUBJ;NAT;PROF;PLUR	Dutch bosses employing a staff policy like this would find themselves in jail.	Las empresarias neerlandesas con un estatuto como este en los Países Bajos irían a parar a la cárcel.	Los empresarios neerlandeses con un estatuto como este en los Países Bajos irían a parar a la cárcel.	dutch [bosses]	las [empresarias] neerlandesas	los [empresarios] neerlandeses	test
QUES;SUBJ;OTH	Should the tenant do what is best?	¿Debe la inquilina hacer lo que es mejor?	¿Debe el inquilino hacer lo que es mejor?	tenant	la [inquilina]	el [inquilino]	test
SUBJ;PROF;PLUR	The philosophers gasped.	Las filósofas quedaron sin aliento.	Los filósofos quedaron sin aliento.	philosophers	las [filósofas]	los [filósofos]	test
SUBJ;NAT;PROF	A Honduran works in the cafeteria.	En la cafetería trabaja una hondureña.	En la cafetería trabaja un hondureño.	honduran	una [hondureña]	un [hondureño]	test
SUBJ;PROF;PLUR;AATR;PPA;PLUR	Certainly farmers are directly interested in recycling any waste left in the fields which - we have already heard in what form - could become renewable energy and an incentive to saving.	Evidentemente, las agricultoras están directamente interesadas en la recuperación de todo lo que los campos dejan como desechos y que -hemos oído ahora cómo podría convertirse en una energía renovable, en un incentivo, en suma, para el ahorro.	Evidentemente, los agricultores están directamente interesados en la recuperación de todo lo que los campos dejan como desechos y que -hemos oído ahora cómo podría convertirse en una energía renovable, en un incentivo, en suma, para el ahorro.	farmers=directly interested	las [agricultoras]=directamente interesadas	los [agricultores]=directamente interesados	test
FRAG;SCMP;SUBJ;PROF;PLUR	The key, it seems to me, is that the artists themselves want this;	La clave, a mi entender, es que las propias artistas están a favor;	La clave, a mi entender, es que los propios artistas están a favor;	artists	las propias [artistas]	los propios [artistas]	test
IOBJ;PROF;PLUR;DIFF	The architects like to build tall buildings.	A las arquitectas les gusta construir edificios altos.	A los arquitectos les gusta construir edificios altos.	architects	las [arquitectas]	los [arquitectos]	test
SCMP;SUBJ;OTH;PLUR	He lives a few streets away from the spot where the protesters gather.	Él vive a unas cuadras del lugar donde se reúnen las manifestantes.	Él vive a unas cuadras del lugar donde se reúnen los manifestantes.	protesters	las [manifestantes]	los [manifestantes]	test
SUBJ;PROF	But last thing: the secretary of defense has made it absolutely clear.	Pero lo último: la secretaria de defensa lo ha dejado absolutamente claro.	Pero lo último: el secretario de defensa lo ha dejado absolutamente claro.	[secretary] of defense	la [secretaria] de defensa	el [secretario] de defensa	test
SUBJ;OTH;PLUR	These beggars by the boatload had every reason to go and get distracted by the funk.	Estas mendigas por el barco tenían todos los motivos para ir a distraerse con el funk.	Estos mendigos por el barco tenían todos los motivos para ir a distraerse con el funk.	these [beggars]	estas [mendigas]	estos [mendigos]	test
SUBJ;PROF	The health worker told me quickly about my discharge and asked me to call and inform my parents and my friends, he says.	La trabajadora sanitaria me comunicó rápidamente el alta y me pidió que llamara e informara a mis padres y a mis amigos, dice.	El trabajador sanitario me comunicó rápidamente el alta y me pidió que llamara e informara a mis padres y a mis amigos, dice.	health [worker]	la [trabajadora] sanitaria	el [trabajador] sanitario	test
IOBJ;FAM;PLUR	Teach children the value of patience and labor.	Se debe enseñar a las hijas el valor de la paciencia y el trabajo.	Se debe enseñar a los hijos el valor de la paciencia y el trabajo.	children	las [hijas]	los [hijos]	test
SCMP;SUBJ;DROP;SCMP;AATR;PPA	The third time I was imprisoned was in 2001.	La tercera vez que fui encarcelada fue en 2001.	La tercera vez que fui encarcelado fue en 2001.	I=imprisoned	(yo)=encarcelada	(yo)=encarcelado	test
SUBJ;PROF	The archer struck true, but the warning had been heard.	La arquera había acertado, pero el aviso había sido escuchado.	El arquero había acertado, pero el aviso había sido escuchado.	archer	la [arquera]	el [arquero]	test
SUBJ;FAM;PLUR	In your beloved hometown your old neighbors have seen him.	En tu querido pueblo natal le han visto tus antiguas vecinas.	En tu querido pueblo natal le han visto tus antiguos vecinos.	old [neighbors]	antiguas [vecinas]	antiguos [vecinos]	test
SUBJ;DROP;AATR;PPA	I can't go to the meeting like this, I'm all disheveled.	No puedo ir así a la reunión, estoy toda despeinada.	No puedo ir así a la reunión, estoy todo despeinado.	I=all disheveled	(yo)=toda despeinada	(yo)=todo despeinado	test
SUBJ;PROF	The best mechanic in this city, without a doubt.	Es la mejor mecánica en esta ciudad, sin duda.	Es el mejor mecánico en esta ciudad, sin duda.	best [mechanic]	la mejor [mecánica]	el mejor [mecánico]	test
SUBJ;PROF	The senators say that speaking directly to the people of the state is a main priority.	Las senadoras dicen que hablar directamente con la gente de su estado es una prioridad principal.	Los senadores dicen que hablar directamente con la gente de su estado es una prioridad principal.	senators	las [senadoras]	los [senadores]	test
SUBJ;DROP;AATR	You're very handsome, and that hippie haircut, it doesn't help you at all.	Eres muy guapa, y ese corte tipo hippie, no te ayuda nada.	Eres muy guapo, y ese corte tipo hippie, no te ayuda nada.	you=very handsome	(tú)=muy guapa	(tú)=muy guapo	test
SUBJ;FAM	My nutritionist friend told me that people are less calcium-deficient than they used to be because of all the fancy coffee they drink nowadays.	Mi amiga nutricionista me dijo que la gente tiene deficiencia de calcio debido al café que se toma actualmente.	Mi amigo nutricionista me dijo que la gente tiene deficiencia de calcio debido al café que se toma actualmente.	nutritionist [friend]	[amiga] nutricionista	[amigo] nutricionista	test
SUBJ;PROF;AATR;APRD	The dentist is experienced in maxillofacial surgery and always acts confidently on complex cases.	La odontóloga es experta en cirugía maxilofacial y siempre se muestra muy segura con los casos complicados.	El odontólogo es experto en cirugía maxilofacial y siempre se muestra muy seguro con los casos complicados.	dentist=experienced=confidently	la [odontóloga]=experta=muy segura	el [odontólogo]=experto=muy seguro	test
DOBJ;OTH;PLUR	People get upset that there are beggars on the streets, but where are the services to help them prosper?	La gente se molesta de que haya mendigas por las calles, pero ¿dónde están los servicios para ayudarles a prosperar?	La gente se molesta de que haya mendigos por las calles, pero ¿dónde están los servicios para ayudarles a prosperar?	beggars	mendigas	mendigos	test
SCMP;SUBJ;DROP;SCMP;AATR	I didn't go to work today because I'm sick.	Hoy no he ido a trabajar porque estoy enferma.	Hoy no he ido a trabajar porque estoy enfermo.	I=sick	(yo)=enferma	(yo)=enfermo	test
QUES;SUBJ;OTH;PLUR;AATR;PPA;PLUR	Are users interested in my fan page?	¿Están las usuarias interesadas en mi página de fans?	¿Están los usuarios interesados en mi página de fans?	users=interested	las [usuarias]=interesadas	los [usuarios]=interesados	test
SUBJ;DROP;RSCMP;OTH	I´ve decided to become a pescatarian, never have liked meat anyway, so it really isn't a big deal.	He decidido hacerme pescatariana, nunca me ha gustado la carne, así que realmente no es un gran problema.	He decidido hacerme pescatariano, nunca me ha gustado la carne, así que realmente no es un gran problema.	I=pescatarian	(yo)=pescatariana	(yo)=pescatariano	test
SUBJ;OTH;PLUR	So many foreigners don't even realize it.	Tantas extranjeras no se dan cuenta.	Tantos extranjeros no se dan cuenta.	so many [foreigners]	tantas [extranjeras]	tantos [extranjeros]	test
SUBJ;DROP;RSCMP;PROF	I'm not an epidemiologist, but clearly this would seem to be a very serious problem and may have contributed to the current epidemic.	No soy epidemióloga, pero claramente, éste parece ser un problema muy serio y puede haber contribuido a la epidemia actual.	No soy epidemiólogo, pero claramente, éste parece ser un problema muy serio y puede haber contribuido a la epidemia actual.	I=epidemiologist	(yo)=epidemióloga	(yo)=epidemiólogo	test
SCMP;SUBJ;PROF;PLUR	And when teachers got mad at him, he wrote comics where the kids had all the power.	Y cuando las maestras se enojaban con él, escribía cómics donde los niños tenían todo el poder.	Y cuando los maestros se enojaban con él, escribía cómics donde los niños tenían todo el poder.	teachers	las [maestras]	los [maestros]	test
SUBJ;OTH;PLUR	That moment when the graduates cried and hugged each other.	Ese momento, que las graduadas lloraban abrazándose.	Ese momento, que los graduados lloraban abrazándose.	graduates	las [graduadas]	los [graduados]	test
SUBJ;OTH;PROF;RSCMP;OTH	The player progressing to the next round or winning the tournament is to be considered as the winner of the bet regardless of match duration, withdrawals, disqualifications, etc.	La jugadora que pase a la siguiente ronda o gane el torneo será la ganadora de la apuesta independientemente de la duración del partido, las retiradas, las descalificaciones, etc.	El jugador que pase a la siguiente ronda o gane el torneo será el ganador de la apuesta independientemente de la duración del partido, las retiradas, las descalificaciones, etc.	player=winner	la [jugadora]=la [ganadora]	el [jugador]=el [ganador]	test
IOBJ;PROF	I sold my car to my supervisor.	Vendí mi automóvil a mi supervisora.	Vendí mi automóvil a mi supervisor.	supervisor	supervisora	supervisor	test
DOBJ;PROF	We have a pilot but they have chosen their city as a test site and the mayor is dying to participate.	Tenemos una piloto pero han elegido su ciudad como zona de pruebas y el alcalde se muere por participar.	Tenemos un piloto pero han elegido su ciudad como zona de pruebas y el alcalde se muere por participar.	pilot	una [piloto]	un [piloto]	test
SUBJ;PROF	An important part of being a software engineer is designing good data structures.	Una parte importante de ser ingeniera de software es diseñar buenas estructuras de datos.	Una parte importante de ser ingeniero de software es diseñar buenas estructuras de datos.	software [engineer]	[ingeniera] de software	[ingeniero] de software	test
SUBJ;PROF	Any good editor has to preview their work before they send it out.	Cualquier buena editora tiene que previsualizar su trabajo antes de enviarlo.	Cualquier buen editor tiene que previsualizar su trabajo antes de enviarlo.	good [editor]	buena [editora]	buen [editor]	test
PPA;IOBJ;OTH;PLUR	The Ocean Protectors Award is the organization's highest environmental honor and will be presented today in New York to six outstanding environmental pioneers and advocates.	El premio Protectores del Océano es el más alto reconocimiento ambiental que otorga la organización y se entregará hoy en Nueva York a seis destacadas precursoras y defensoras del medio ambiente.	El premio Protectores del Océano es el más alto reconocimiento ambiental que otorga la organización y se entregará hoy en Nueva York a seis destacados precursores y defensores del medio ambiente.	outstanding environmental [pioneers]=advocates	destacadas [precursoras]=[defensoras] del medio ambiente	destacados [precursores]=[defensores] del medio ambiente	test
SUBJ;FAM;PLUR	The friends, fearing that Conchita was not feeling well, take some steps to help her when an Angel appeared to them bright.	Las amigas, temiendo que Conchita haya tenido un malestar, hacen algunos pasos para socorrerla cuando les aparece un Ángel luminoso.	Los amigos, temiendo que Conchita haya tenido un malestar, hacen algunos pasos para socorrerla cuando les aparece un Ángel luminoso.	friends	las [amigas]	los [amigos]	test
RSCMP;PROF;INDF	The worst we can say is a bad mechanic.	Lo peor que podemos decir es una mala mecánica.	Lo peor que podemos decir es un mal mecánico.	bad [mechanic]	una mala [mecánica]	un mal [mecánico]	test
SUBJ;PROF;AATR;PPA	The manager was welcome by the factory staff.	La directora fue bien recibida por el personal de la fábrica.	El director fue bien recibido por el personal de la fábrica.	manager=welcome	la [directora]=bien recibida	el [director]=bien recibido	test
QUES;SCMP;SUBJ;OTH	Could you ask for an investigation to see how it occurred and what steps are being taken to make sure that the culprit pays for the reprinting?	¿Podría pedir usted una investigación para ver cómo ocurrió y qué medidas se están adoptando para que la culpable pague la reimpresión?	¿Podría pedir usted una investigación para ver cómo ocurrió y qué medidas se están adoptando para que el culpable pague la reimpresión?	culprit	la [culpable]	el [culpable]	test
SCMP;SUBJ;OTH	The risk that a customer will not pay remains the same.	Mientras tanto, sigue existiendo el riesgo de que una clienta no pague.	Mientras tanto, sigue existiendo el riesgo de que un cliente no pague.	customer	una [clienta]	un [cliente]	test
IOBJ;FAM	Make sure you buy the kid a sandwich, too.	Asegúrate de comprarle un sandwich a la nena también.	Asegúrate de comprarle un sandwich al nene también.	kid	a la [nena]	al [nene]	test
SUBJ;PROF;DFCL	This option is only available until the captain confirms the team's lineup.	Esta opción solo estará disponible hasta el momento en el que la capitana confirme la alineación del equipo.	Esta opción solo estará disponible hasta el momento en el que el capitán confirme la alineación del equipo.	captain	la [capitana]	el [capitán]	test
SCMP;SUBJ;PLUR	We categorically oppose this Commission proposal and there is no margin whatsoever for its 'better management', as some people are saying in order to make it look better and more 'digestible'.	Nos oponemos de forma categórica a dicha propuesta de la Comisión y no existe margen alguno para «su mejor gestión», como dicen algunas para adornarla y hacerla más digerible.	Nos oponemos de forma categórica a dicha propuesta de la Comisión y no existe margen alguno para «su mejor gestión», como dicen algunos para adornarla y hacerla más digerible.	[some people]	algunas	algunos	test
SUBJ;NAT;PROF;PLUR	Only a while ago Portuguese veterinary surgeons were protesting against the lack of controls on meat entering the country.	No hace mucho las veterinarias cirujanas portuguesas protestaron por la falta de control de las carnes que entran en el país.	No hace mucho los veterinarios cirujanos portugueses protestaron por la falta de control de las carnes que entran en el país.	portuguese [veterinary] surgeons	las [veterinarias] cirujanas portuguesas	los [veterinarios] cirujanos portugueses	test
IOBJ;PROF;PLUR	The club had paid their players a small sum of money for each game.	El club había pagado a sus jugadoras una pequeña suma de dinero por cada partido.	El club había pagado a sus jugadores una pequeña suma de dinero por cada partido.	players	jugadoras	jugadores	test
SUBJ;DROP;RSCMP;PROF;RSCMP;PROF	It was a mixture of craftsperson, versatile executor and artist.	Era una mezcla de artesana, ejecutora polifacética y artista.	Era una mezcla de artesano, ejecutor polifacético y artista.	it=craftsperson=versatile [executor]	(ella)=artesana=[ejecutora] polifacética	(él)=artesano=[ejecutor] polifacético	test
SUBJ;FAM;PLUR;AATR;PPA	My friends were very quiet.	Mis amigas estaban muy calladas.	Mis amigos estaban muy callados.	friends=very quiet	amigas=muy calladas	amigos=muy callados	test
SUBJ;FAM;PLUR	Their parents mostly depend on fishing, farming or small businesses to earn a living.	Para ganarse la vida sus progenitoras dependen mayoritariamente de la pesca, la agricultura o pequeños negocios.	Para ganarse la vida sus progenitores dependen mayoritariamente de la pesca, la agricultura o pequeños negocios.	parents	progenitoras	progenitores	test
FRAG;SUBJ;POSS;POSC;PROF;PLUR	Our surgeons treat many conditions and perform many complex procedures, including:	Nuestras cirujanas tratan varias enfermedades y realizan varios procedimientos complejos, incluso:	Nuestros cirujanos tratan varias enfermedades y realizan varios procedimientos complejos, incluso:	our [surgeons]	nuestras [cirujanas]	nuestros [cirujanos]	test
SUBJ;OTH;SCMP;RSCMP;OTH	The customer is still king.	La clienta sigue siendo la que manda.	El cliente sigue siendo el que manda.	customer=king	la [clienta]=la [que] manda	el [cliente]=el [que] manda	test
SCMP;SUBJ;SCMP;RSCMP;FAM	And I'm telling you that this is my first grandchild.	Y te estoy diciendo que esta es mi primera nieta.	Y te estoy diciendo que este es mi primer nieto.	this=first [grandchild]	esta=primera [nieta]	este=primer [nieto]	test
FRAG;SUBJ;PROF;PLUR;PPA	Security researchers identified...	Las investigadoras de seguridad identificadas...	Los investigadores de seguridad identificados...	security [researchers] identified	las [investigadoras] de seguridad identificadas	los [investigadores] de seguridad identificados	test
HEAD;SUBJ;OTH	Resourceful host can adapt it for other needs.	Anfitriona ingeniosa puede adaptarlo para otras necesidades.	Anfitrión ingenioso puede adaptarlo para otras necesidades.	resourceful [host]	[anfitriona] ingeniosa	[anfitrión] ingenioso	test
SUBJ;PROF;PPA;ANAN;ANAN;PPA;ANAN;SCMP;AATR;PPA;ANAN;DFCL	Therefore, a dedicated, knowledgeable and passionate customer success agent to join our team is always welcome.	Por lo tanto, una agente de éxito del cliente dedicada, conocedora y apasionada para unirse a nuestro equipo es siempre bienvenida.	Por lo tanto, un agente de éxito del cliente dedicado, conocedor y apasionado para unirse a nuestro equipo es siempre bienvenido.	customer success [agent]=dedicated=knowledgeable=passionate=welcome	una [agente] de éxito del cliente=dedicada=conocedora=apasionada=bienvenida	un [agente] de éxito del cliente=dedicado=conocedor=apasionado=bienvenido	test
SUBJ;NAT;PROF;PLUR	Over the years, several Nicaraguan writers have worked on the portal's pages.	A lo largo de los años, varias escritoras nicaragüenses han trabajado en las páginas del portal.	A lo largo de los años, varios escritores nicaragüenses han trabajado en las páginas del portal.	several nicaraguan [writers]	varias [escritoras] nicaragüenses	varios [escritores] nicaragüenses	test
DOBJ;PROF	Well, to begin with, I've found you an astronomer.	Bueno, para empezar, le he encontrado una astrónoma.	Bueno, para empezar, le he encontrado un astrónomo.	astronomer	una [astrónoma]	un [astrónomo]	test
SUBJ;OTH;PLUR;OTH;PLUR	These prisoners - volunteers for science - always come from a socially disadvantaged background and most of the time they are immigrants.	Estas prisioneras, voluntarias para la ciencia, son siempre de origen social desfavorecido y la mayoría de las veces inmigrantes.	Estos prisioneros, voluntarios para la ciencia, son siempre de origen social desfavorecido y la mayoría de las veces inmigrantes.	these [prisoners]=volunteers	estas [prisioneras]=voluntarias	estos [prisioneros]=voluntarios	test
FRAG;PROF;PROF	A successful actor and philanthropist.	Una exitosa actriz y filántropa.	Un exitoso actor y filántropo.	successful [actor]=philanthropist	una exitosa [actriz]=filántropa	un exitoso [actor]=filántropo	test
SUBJ;OTH	Not long after that post went live, a reader contacted me about the code I'd used to actually create the custom object.	No mucho después de que salió en vivo, una lectora contactó conmigo sobre el código que había utilizado para crear el objeto personalizado.	No mucho después de que salió en vivo, un lector contactó conmigo sobre el código que había utilizado para crear el objeto personalizado.	reader	una [lectora]	un [lector]	test
SUBJ;NAT;OTH	The Bolivian has been all over Latin America and Europe, amazing traveler.	La boliviana ha recorrido toda Latinoamérica y Europa, increíble viajera.	El boliviano ha recorrido toda Latinoamérica y Europa, increíble viajero.	bolivian=amazing [traveler]	la [boliviana]=increíble [viajera]	el [boliviano]=increíble [viajero]	test
SUBJ;PROF;AATR;PPA	In the end, the comptroller was dismissed by the Congress of the Republic.	Al final, la contralora fue destituida por el congreso de la república.	Al final, el contralor fue destituido por el congreso de la república.	comptroller=dismissed	la [contralora]=destituida	el [contralor]=destituido	test
SUBJ;FAM;APRD;PPA	The child looked into a microscope and was totally amazed.	La niña miró en un microscopio y se quedó totalmente asombrada.	El niño miró en un microscopio y se quedó totalmente asombrado.	child=amazed	la [niña]=asombrada	el [niño]=asombrado	test
SUBJ;PROF	The cook says the captain wants turtle soup or nothing.	La cocinera dice que el capitán quiere sopa de tortuga o nada.	El cocinero dice que el capitán quiere sopa de tortuga o nada.	cook	la [cocinera]	el [cocinero]	test
SUBJ;FAM;PLUR;AATR;PPA;PLUR;SCMP;DOBJ;FAM;PLUR;DFCL	Rich children would not be treated like they are money because there would be no rich children.	Las niñas ricas no serán tratadas como si fueran dinero, porque no habrá niñas ricas.	Los niños ricos no serán tratados como si fueran dinero, porque no habrá niños ricos.	rich [children]=treated=rich [children]	las [niñas] ricas=tratadas=[niñas] ricas	los [niños] ricos=tratados=[niños] ricos	test
SUBJ;FAM	The child said this was put in the unsuspecting nanny's brush.	La niña dijo que puso esto en el cepillo de la confiada niñera.	El niño dijo que puso esto en el cepillo de la confiada niñera.	child	la [niña]	el [niño]	test
SUBJ;PROF	Your immediate supervisor is the person responsible for what goes on in your immediate work area and may be in the best position to help you.	Su supervisora inmediata es la persona responsable de lo que sucede en su área inmediata de trabajo y podría estar en la mejor posición para ayudarle.	Su supervisor inmediato es la persona responsable de lo que sucede en su área inmediata de trabajo y podría estar en la mejor posición para ayudarle.	immediate [supervisor]	[supervisora] inmediata	[supervisor] inmediato	test
QUES;SCMP;SUBJ;PROF;PLUR;SCMP;PLUR	How can we get good, honest entrepreneurs to come and stay here?	¿Cómo podemos hacer que empresarias buenas y honestas vengan y se queden aquí?	¿Cómo podemos hacer que empresarios buenos y honestos vengan y se queden aquí?	good=honest [entrepreneurs]	[empresarias] buenas=honestas	[empresarios] buenos=honestos	test
FRAG;SUBJ;PROF	An archaeologist went to that remote location to translate and study his latest find:	Una arqueóloga fue hasta ese remoto lugar para traducir y estudiar su último hallazgo:	Un arqueólogo fue hasta ese remoto lugar para traducir y estudiar su último hallazgo:	archaeologist	una [arqueóloga]	un [arqueólogo]	test
SUBJ;PROF;PLUR	The candidates have informed me that they agree to stand.	Las candidatas me han comunicado que aceptaban sus respectivas candidaturas.	Los candidatos me han comunicado que aceptaban sus respectivas candidaturas.	candidates	las [candidatas]	los [candidatos]	test
SCMP;SUBJ;OTH;PLUR	That impact also shows us that it is high time for action to introduce the European road-tax disc, to actually present the framework you have announced and to continue working hard to apply the principle that users should pay the true cost of road transport.	Estos impactos nos indican que ha llegado la hora de emprender acciones para introducir la Euroviñeta, de presentar el marco que ha anunciado y de seguir trabajando duramente para aplicar el principio de que las usuarias deben pagar el coste real del transporte por carretera.	Estos impactos nos indican que ha llegado la hora de emprender acciones para introducir la Euroviñeta, de presentar el marco que ha anunciado y de seguir trabajando duramente para aplicar el principio de que los usuarios deben pagar el coste real del transporte por carretera.	users	las [usuarias]	los [usuarios]	test
SUBJ;REL;FAM;POSS;POSC	A catholic friend of mine attended a jewish worship service with me.	Una católica amiga mía asistió conmigo a un acto religioso judío.	Un católico amigo mío asistió conmigo a un acto religioso judío.	[catholic] friend of mine	una [católica] amiga mía	un [católico] amigo mío	test
