labels	source	ff	fm	mf	mm	kw_s	kw_f	kw_m
SUBJ;PLUR;REL;ANAN;OPRP	The Pentecostals have discussed ways to amend this proposed constitutional change for neophytes.	Les pentecôtistes ont discuté des moyens de modifier ce changement constitutionnel proposé pour les néophytes.	Les pentecôtistes ont discuté des moyens de modifier ce changement constitutionnel proposé pour les néophytes.	Les pentecôtistes ont discuté des moyens de modifier ce changement constitutionnel proposé pour les néophytes.	Les pentecôtistes ont discuté des moyens de modifier ce changement constitutionnel proposé pour les néophytes.	Pentecostals;neophytes	pentecôtistes;néophytes	pentecôtistes;néophytes
SUBJ;PLUR;ANAN;DFCL;OTH;NAT	The Peruvians justified this procedure for reasons of fiscal and administrative simplicity, noting that the exploiters of the system are few.	Les Péruviennes ont justifié cette procédure par des raisons de simplicité fiscale et administrative, notant que les exploiteuses du système sont peu.	Les Péruviennes ont justifié cette procédure par des raisons de simplicité fiscale et administrative, notant que les exploiteurs du système sont peu.	Les Péruviens ont justifié cette procédure par des raisons de simplicité fiscale et administrative, notant que les exploiteuses du système sont peu.	Les Péruviens ont justifié cette procédure par des raisons de simplicité fiscale et administrative, notant que les exploiteurs du système sont peu.	Peruvians;exploiters	Péruviennes;exploiteuses	Péruviens;exploiteurs
ANAN;SUBJ;OTH	The petitioner needs to sign these three documents and the applicant needs to sign this one.	La pétitionnaire doit signer ces trois documents et la demandeuse doit signer celui-ci.	La pétitionnaire doit signer ces trois documents et le demandeur doit signer celui-ci.	Le pétitionnaire doit signer ces trois documents et la demandeuse doit signer celui-ci.	Le pétitionnaire doit signer ces trois documents et le demandeur doit signer celui-ci.	petitioner;applicant	la [pétitionnaire];la [demandeuse]	le [pétitionnaire];le [demandeur]
PROF;OPRP;GLNK	What is the difference between a pharmacist and a pharmacologist?	Quelle est la différence entre une pharmacienne et une pharmacologue ?	Quelle est la différence entre une pharmacienne et un pharmacologue ?	Quelle est la différence entre un pharmacien et une pharmacologue ?	Quelle est la différence entre un pharmacien et un pharmacologue ?	pharmacist;pharmacologist	une [pharmacienne];une [pharmacologue]	un [pharmacien];un [pharmacologue]
SUBJ;PLUR;OTH;AATR	More than 60 philanthropists and patrons have attended the seminars.	Plus de 60 philanthropes et mécènes ont assisté aux séminaires.	Plus de 60 philanthropes et mécènes ont assisté aux séminaires.	Plus de 60 philanthropes et mécènes ont assisté aux séminaires.	Plus de 60 philanthropes et mécènes ont assisté aux séminaires.	philanthropists;patrons	philanthropes;mécènes	philanthropes;mécènes
PLUR;PROF;DOBJ;ANAN;DFCL;OTH	It provides information to help physicians that advise patients with preexisting illnesses who plan to travel by plane.	Il fournit des informations pour aider les médecins qui conseillent des patientes avec des maladies préexistantes qui prévoient de voyager par avion.	Il fournit des informations pour aider les médecins qui conseillent des patients avec des maladies préexistantes qui prévoient de voyager par avion.	Il fournit des informations pour aider les médecins qui conseillent des patientes avec des maladies préexistantes qui prévoient de voyager par avion.	Il fournit des informations pour aider les médecins qui conseillent des patients avec des maladies préexistantes qui prévoient de voyager par avion.	physicians;patients	médecins;patientes	médecins;patients
SUBJ;PLUR;FAM;ANAN;OPRP;PROF	Physicians pay visit to minors who have illnesses which are life-threatening, precisely between ages 3 and 18.	Les médecins se rendent chez les mineures qui ont des maladies mettant leur vie en danger, précisément entre 3 et 18 ans.	Les médecins se rendent chez les mineurs qui ont des maladies mettant leur vie en danger, précisément entre 3 et 18 ans.	Les médecins se rendent chez les mineures qui ont des maladies mettant leur vie en danger, précisément entre 3 et 18 ans.	Les médecins se rendent chez les mineurs qui ont des maladies mettant leur vie en danger, précisément entre 3 et 18 ans.	physicians;minors	médecins;mineures	médecins;mineurs
PLUR;PROF;ANAN;IOBJ;OTH;GLNK	The Kilauea offers physicists and visitors an insight into the birth of the Hawaiian Islands.	Le Kilauea offre aux physiciennes et visiteuses un aperçu de la naissance des îles hawaïennes.	Le Kilauea offre aux physiciennes et visiteurs un aperçu de la naissance des îles hawaïennes.	Le Kilauea offre aux physiciens et visiteuses un aperçu de la naissance des îles hawaïennes.	Le Kilauea offre aux physiciens et visiteurs un aperçu de la naissance des îles hawaïennes.	physicists;visitors	physiciennes;visiteuses	physiciens;visiteurs
PLUR;DOBJ;REL	Your story will make pietists weep and saints gasp for air.	Votre histoire fera pleurer les piétistes et haleter les saintes.	Votre histoire fera pleurer les piétistes et haleter les saints.	Votre histoire fera pleurer les piétistes et haleter les saintes.	Votre histoire fera pleurer les piétistes et haleter les saints.	pietists;saints	piétistes;saintes	piétistes;saints
SUBJ;PLUR;ANAN;OTH;NAT	Pilgrims enjoy the same rights Gabonese do.	Les pèlerines jouissent des mêmes droits que les Gabonaises.	Les pèlerines jouissent des mêmes droits que les Gabonais.	Les pèlerins jouissent des mêmes droits que les Gabonaises.	Les pèlerins jouissent des mêmes droits que les Gabonais.	pilgrims;Gabonese	pèlerines;Gabonaises	pèlerins;Gabonais
SUBJ;PLUR;IOBJ;OTH;NAT	The pirate told the story of his miseries to the islanders.	La pirate raconta l’histoire de ses misères aux insulaires.	La pirate raconta l’histoire de ses misères aux insulaires.	Le pirate raconta l’histoire de ses misères aux insulaires.	Le pirate raconta l’histoire de ses misères aux insulaires.	pirate;islanders	la [pirate];insulaires	le [pirate];insulaires
SUBJ;PLUR;SCMP;NAT;AATR;PROF	Both placers were Fijians.	Les deux placeuses étaient des Fidjiennes.	Les deux placeuses étaient des Fidjiens.	Les deux placeurs étaient des Fidjiennes.	Les deux placeurs étaient des Fidjiens.	placers;Fijians	placeuses;Fidjiennes	placeurs;Fidjiens
SUBJ;OTH;DFCL;PERS	The plaintiff must then submit evidence showing that they expressly renounce.	La plaignante doit alors présenter une preuve démontrant qu’elle renonce expressément.	La plaignante doit alors présenter une preuve démontrant qu’il renonce expressément.	Le plaignant doit alors présenter une preuve démontrant qu’elle renonce expressément.	Le plaignant doit alors présenter une preuve démontrant qu’il renonce expressément.	plaintiff;they	la [plaignante];elle	le [plaignant];il
PLUR;IOBJ;OTH;NAT;PROF	A pleader is talking to the Lebanese.	Une plaideuse parle aux Libanaises.	Une plaideuse parle aux Libanais.	Un plaideur parle aux Libanaises.	Un plaideur parle aux Libanais.	pleader;Lebanese	une [plaideuse];Libanaises	un [plaideur];Libanais
SUBJ;PLUR;PROF;GLNK	Poets and lyricists have the power to crystallize their emotions into masterpieces.	Les poètes et parolières ont le pouvoir de cristalliser leurs émotions en chefs-d’œuvre.	Les poètes et paroliers ont le pouvoir de cristalliser leurs émotions en chefs-d’œuvre.	Les poètes et parolières ont le pouvoir de cristalliser leurs émotions en chefs-d’œuvre.	Les poètes et paroliers ont le pouvoir de cristalliser leurs émotions en chefs-d’œuvre.	poets;lyricists	poètes;parolières	poètes;paroliers
SUBJ;PROF;GLNK	The printer and typographer are there to work on the models.	L’imprimeuse et la typographe sont là pour travailler sur les modèles.	L’imprimeuse et le typographe sont là pour travailler sur les modèles.	L’imprimeur et la typographe sont là pour travailler sur les modèles.	L’imprimeur et le typographe sont là pour travailler sur les modèles.	printer;typographer	imprimeuse;la [typographe]	imprimeur;le [typographe]
OTH;SCMP;SUBJ;FAM	The prodigy is my youngest.	La prodige c’est ma benjamine.	La prodige c’est mon benjamin.	Le prodige c’est ma benjamine.	Le prodige c’est mon benjamin.	prodigy;my [youngest]	la [prodige];ma [benjamine]	le [prodige];mon [benjamin]
DOBJ;PROF;OPRP;IMPR;GLNK	Do not confuse prosecutor with magistrate.	Ne confondez pas procureure avec magistrate.	Ne confondez pas procureure avec magistrat.	Ne confondez pas procureur avec magistrate.	Ne confondez pas procureur avec magistrat.	prosecutor;magistrate	procureure;magistrate	procureur;magistrat
ANAN;PLUR;DOBJ;REL;GLNK	The conference gathered Protestants and Evangelicals, at a time when collective conversions were dwindling.	La conférence a réuni protestantes et évangéliques, à une époque où les conversions collectives s’amenuisaient.	La conférence a réuni protestantes et évangéliques, à une époque où les conversions collectives s’amenuisaient.	La conférence a réuni protestants et évangéliques, à une époque où les conversions collectives s’amenuisaient.	La conférence a réuni protestants et évangéliques, à une époque où les conversions collectives s’amenuisaient.	Protestants;Evangelicals	protestantes;évangéliques	protestants;évangéliques
SUBJ;PROF;GLNK	A psychologist or psychiatrist may recommend poetry for healing.	Une psychologue ou une psychiatre peut recommander la poésie pour la guérison.	Une psychologue ou un psychiatre peut recommander la poésie pour la guérison.	Un psychologue ou une psychiatre peut recommander la poésie pour la guérison.	Un psychologue ou un psychiatre peut recommander la poésie pour la guérison.	psychologist;psychiatrist	une [psychologue];une [psychiatre]	un [psychologue];un [psychiatre]
SUBJ;PROF;OTH;AATR;OPRP	A pupil does not necessarily create connections with every teacher.	Une élève ne crée pas forcément des liens avec chaque enseignante.	Une élève ne crée pas forcément des liens avec chaque enseignant.	Un élève ne crée pas forcément des liens avec chaque enseignante.	Un élève ne crée pas forcément des liens avec chaque enseignant.	pupil;teacher	une [élève];enseignante	un [élève];enseignant
SUBJ;PLUR;DOBJ;ANAN;OTH	It is an extreme game where the racers can destroy their challengers.	C’est un jeu extrême où les coureuses peuvent détruire leurs challengeuses.	C’est un jeu extrême où les coureuses peuvent détruire leurs challengeurs.	C’est un jeu extrême où les coureurs peuvent détruire leurs challengeuses.	C’est un jeu extrême où les coureurs peuvent détruire leurs challengeurs.	racers;challengers	coureuses;challengeuses	coureurs;challengeurs
SUBJ;PLUR;FAM;DFCL;PERS	Rascals don't talk about science when they are together.	Les friponnes ne parlent pas de science quand elles sont ensemble.	Les friponnes ne parlent pas de science quand ils sont ensemble.	Les fripons ne parlent pas de science quand elles sont ensemble.	Les fripons ne parlent pas de science quand ils sont ensemble.	rascals;they	friponnes;elles	fripons;ils
SUBJ;NHUM;IOBJ	The rat obeyed the rabbit.	La rate a obéi à la lapine.	La rate a obéi au lapin.	Le rat a obéi à la lapine.	Le rat a obéi au lapin.	rat;rabbit	la [rate];à la [lapine]	le [rat];au [lapin]
SUBJ;PLUR;REL;IOBJ	What did the Reformed convey to the Calvinists?	Qu’est-ce que les réformées ont transmis aux calvinistes ?	Qu’est-ce que les réformées ont transmis aux calvinistes ?	Qu’est-ce que les réformés ont transmis aux calvinistes ?	Qu’est-ce que les réformés ont transmis aux calvinistes ?	Reformed;Calvinists	réformées;calvinistes	réformés;calvinistes
SUBJ;PLUR;REL	Religious extremists or Neo-Nazis?	Extrémistes religieuses ou néo-nazies ?	Extrémistes religieuses ou néo-nazis ?	Extrémistes religieux ou néo-nazies ?	Extrémistes religieux ou néo-nazis ?	religious [extremists];Neo-Nazis	[extrémistes] religieuses;néo-nazies	[extrémistes] religieux;néo-nazis
ANAN;SUBJ;PLUR;PROF;GLNK	Researchers and policymakers increasingly provide regional coverage, bringing its developing country perspectives to the issues.	Les chercheuses et décideuses fournissent de plus en plus de couverture régionale, apportant leurs perspectives de pays en développement aux questions.	Les chercheuses et décideurs fournissent de plus en plus de couverture régionale, apportant leurs perspectives de pays en développement aux questions.	Les chercheurs et décideuses fournissent de plus en plus de couverture régionale, apportant leurs perspectives de pays en développement aux questions.	Les chercheurs et décideurs fournissent de plus en plus de couverture régionale, apportant leurs perspectives de pays en développement aux questions.	researchers;policymakers	chercheuses;décideuses	chercheurs;décideurs
SUBJ;PLUR;ANAN;IOBJ;OTH;PROF	The residents are opening their world with open arms to the ambassadors.	Les résidentes ouvrent leur monde à bras ouverts aux ambassadrices.	Les résidentes ouvrent leur monde à bras ouverts aux ambassadeurs.	Les résidents ouvrent leur monde à bras ouverts aux ambassadrices.	Les résidents ouvrent leur monde à bras ouverts aux ambassadeurs.	residents;ambassadors	résidentes;ambassadrices	résidents;ambassadeurs
SUBJ;PLUR;FAM;IPRO;GLNK	Retirees and others living abroad may benefit from the initiative.	Les retraitées et les autres vivant à l’étranger peuvent bénéficier de l’initiative.	Les retraitées et les autres vivant à l’étranger peuvent bénéficier de l’initiative.	Les retraités et les autres vivant à l’étranger peuvent bénéficier de l’initiative.	Les retraités et les autres vivant à l’étranger peuvent bénéficier de l’initiative.	retirees;others	retraitées;autres	retraités;autres
SUBJ;ANAN;NAT;PLUR;GLNK	Costa Ricans and Belizeans are part of the visual discourse supporting the social construction of identity, a concept that cannot be encapsulated in a single definition.	Les Costaricaines et Béliziennes font partie du discours visuel soutenant la construction sociale de l’identité, un concept qui ne peut être encapsulé dans une seule définition.	Les Costaricaines et Béliziens font partie du discours visuel soutenant la construction sociale de l’identité, un concept qui ne peut être encapsulé dans une seule définition.	Les Costaricains et Béliziennes font partie du discours visuel soutenant la construction sociale de l’identité, un concept qui ne peut être encapsulé dans une seule définition.	Les Costaricains et Béliziens font partie du discours visuel soutenant la construction sociale de l’identité, un concept qui ne peut être encapsulé dans une seule définition.	Ricans;Belizeans	Costaricaines;Béliziennes	Costaricains;Béliziens
SUBJ;PLUR;DOBJ;ANAN;OTH	The rich don't consider the poor as the same species.	Les riches ne considèrent pas les pauvresses de la même espèce.	Les riches ne considèrent pas les pauvres de la même espèce.	Les riches ne considèrent pas les pauvresses de la même espèce.	Les riches ne considèrent pas les pauvres de la même espèce.	rich;poor	riches;pauvresses	riches;pauvres
SUBJ;DOBJ;FAM;AATR	The right one for the job confronted my first lover.	La bonne pour le boulot a confronté ma première amante.	La bonne pour le boulot a confronté mon premier amant.	Le bon pour le boulot a confronté ma première amante.	Le bon pour le boulot a confronté mon premier amant.	right;my first [lover]	la [bonne];ma première [amante]	le [bon];mon premier [amant]
SUBJ;PLUR;FRAG;REL	Few righteous, many sinners.	Peu de justes, beaucoup de pècheresses.	Peu de justes, beaucoup de pécheurs.	Peu de justes, beaucoup de pècheresses.	Peu de justes, beaucoup de pécheurs.	righteous;sinners	justes;pècheresses	justes;pécheurs
SUBJ;PLUR;ANAN;OTH;DFCL;OPRP;PERS	Risktakers don't want to be pumping money when there are low payouts for them.	Les preneuses de risques ne veulent pas pomper de l’argent lorsqu’il y a de faibles paiements pour elles.	Les preneuses de risques ne veulent pas pomper de l’argent lorsqu’il y a de faibles paiements pour eux.	Les preneurs de risques ne veulent pas pomper de l’argent lorsqu’il y a de faibles paiements pour elles.	Les preneurs de risques ne veulent pas pomper de l’argent lorsqu’il y a de faibles paiements pour eux.	risktakers;them	preneuses;elles	preneurs;eux
SUBJ;PLUR;DOBJ;FAM;ANAN	Our rivals made a comeback and have taken down my teammates.	Nos rivales ont fait un grand retour et ont éliminé mes coéquipières.	Nos rivales ont fait un grand retour et ont éliminé mes coéquipiers.	Nos rivaux ont fait un grand retour et ont éliminé mes coéquipières.	Nos rivaux ont fait un grand retour et ont éliminé mes coéquipiers.	rivals;teammates	rivales;coéquipières	rivaux;coéquipiers
ANAN;NAT;PLUR;OPRP;GLNK	There are discriminatory entry fees against Romanians and the Roma.	Il existe des droits d’entrée discriminatoires à l’encontre des Roumaines et des Roms.	Il existe des droits d’entrée discriminatoires à l’encontre des Roumaines et des Roms.	Il existe des droits d’entrée discriminatoires à l’encontre des Roumains et des Roms.	Il existe des droits d’entrée discriminatoires à l’encontre des Roumains et des Roms.	Romanians;Roma	Roumaines;Roms	Roumains;Roms
SUBJ;NAT;PLUR;DOBJ	The Russians are now searching for the Siberians in the forest.	Les Russes recherchent maintenant les Sibériennes dans la forêt.	Les Russes recherchent maintenant les Sibériens dans la forêt.	Les Russes recherchent maintenant les Sibériennes dans la forêt.	Les Russes recherchent maintenant les Sibériens dans la forêt.	Russians;Siberians	Russes;Sibériennes	Russes;Sibériens
SUBJ;PLUR;DOBJ;OTH;NAT	The Rwandan accused the insurrectionists of wanting to overthrow the government.	La Rwandaise a accusé les insurgées de vouloir renverser le gouvernement.	La Rwandaise a accusé les insurgés de vouloir renverser le gouvernement.	Le Rwandais a accusé les insurgées de vouloir renverser le gouvernement.	Le Rwandais a accusé les insurgés de vouloir renverser le gouvernement.	Rwandan;insurrectionists	la [Rwandaise];insurgées	le [Rwandais];insurgés
SUBJ;PLUR;IOBJ;OTH;NAT	The Saudis withheld aid from the non-combatants.	Les Saoudiennes ont refusé l’aide aux non-combattantes.	Les Saoudiennes ont refusé l’aide aux non-combattants.	Les Saoudiens ont refusé l’aide aux non-combattantes.	Les Saoudiens ont refusé l’aide aux non-combattants.	Saudis;non-combatants	Saoudiennes;non-combattantes	Saoudiens;non-combattants
SUBJ;PLUR;DOBJ;FAM;OTH	Savages don't devour their young.	Les sauvages ne dévorent pas leurs petites.	Les sauvages ne dévorent pas leurs petits.	Les sauvages ne dévorent pas leurs petites.	Les sauvages ne dévorent pas leurs petits.	savages;young	sauvages;petites	sauvages;petits
SUBJ;PLUR;IOBJ;OTH;DFCL;IMPR;PERS	Tell the schoolchildren that they are to choose one of the sentences.	Dites aux écolières qu’elles doivent choisir l’une des phrases.	Dites aux écolières qu’ils doivent choisir l’une des phrases.	Dites aux écoliers qu’elles doivent choisir l’une des phrases.	Dites aux écoliers qu’ils doivent choisir l’une des phrases.	schoolchildren;they	écolières;elles	écoliers;ils
SUBJ;PLUR;ANAN;NAT;OPRP;PROF	The scriptwriter took seven months to work on the series for the Irish.	La scénariste a mis sept mois à travailler sur la série pour les Irlandaises.	La scénariste a mis sept mois à travailler sur la série pour les Irlandais.	Le scénariste a mis sept mois à travailler sur la série pour les Irlandaises.	Le scénariste a mis sept mois à travailler sur la série pour les Irlandais.	scriptwriter;Irish	la [scénariste];Irlandaises	le [scénariste];Irlandais
OTH;SUBJ;DOBJ;FAM	The seducer took a bite of the apple and a magic spell transformed the beholder.	La séductrice a mordu dans la pomme et un sortilège a transformé l’observatrice.	La séductrice a mordu dans la pomme et un sortilège a transformé l’observateur.	Le séducteur a mordu dans la pomme et un sortilège a transformé l’observatrice.	Le séducteur a mordu dans la pomme et un sortilège a transformé l’observateur.	seducer;beholder	la [séductrice];observatrice	le [séducteur];observateur
SUBJ;PLUR;FAM;ANAN;OPRP;PROF	Low income seniors now have access to healthy and nutritious fruits and vegetables from the distributor.	Les seniors à faible revenu ont maintenant un accès à des fruits et légumes sains et nutritifs auprès de la distributrice.	Les seniors à faible revenu ont maintenant un accès à des fruits et légumes sains et nutritifs auprès du distributeur.	Les seniors à faible revenu ont maintenant un accès à des fruits et légumes sains et nutritifs auprès de la distributrice.	Les seniors à faible revenu ont maintenant un accès à des fruits et légumes sains et nutritifs auprès du distributeur.	seniors;distributor	seniors;de la [distributrice]	seniors;du [distributeur]
SUBJ;PLUR;DFCL;REL;IPRO	Separatists could care less about what others say.	Les séparatistes se moquent de ce que disent les autres.	Les séparatistes se moquent de ce que disent les autres.	Les séparatistes se moquent de ce que disent les autres.	Les séparatistes se moquent de ce que disent les autres.	separatists;others	séparatistes;autres	séparatistes;autres
APRD;SUBJ;PROF;OPRP;DFCL	Unlike the civil servant, the artisan is unique and irreplaceable.	Contrairement à la fonctionnaire, l’artisane est unique et irremplaçable.	Contrairement à la fonctionnaire, l’artisan est unique et irremplaçable.	Contrairement au fonctionnaire, l’artisane est unique et irremplaçable.	Contrairement au fonctionnaire, l’artisan est unique et irremplaçable.	servant;artisan	à la [fonctionnaire];artisane	au [fonctionnaire];artisan
SUBJ;PLUR;REL;ANAN;DFCL;OTH;PPA	When the settlers had finished their festivities inside the sacred place, only then were the worshippers allowed to go in.	Lorsque les colonisatrices eurent terminé leurs festivités à l’intérieur du lieu sacré, ce n’est qu’alors que les adoratrices furent autorisées à entrer.	Lorsque les colonisatrices eurent terminé leurs festivités à l’intérieur du lieu sacré, ce n’est qu’alors que les adorateurs furent autorisés à entrer.	Lorsque les colonisateurs eurent terminé leurs festivités à l’intérieur du lieu sacré, ce n’est qu’alors que les adoratrices furent autorisées à entrer.	Lorsque les colonisateurs eurent terminé leurs festivités à l’intérieur du lieu sacré, ce n’est qu’alors que les adorateurs furent autorisés à entrer.	settlers;worshippers	colonisatrices;adoratrices=autorisées	colonisateurs;adorateurs=autorisés
SUBJ;PROF;DOBJ	The skater threatened the cop at the park last night.	La skateuse a menacé la flic au parc hier soir.	La skateuse a menacé le flic au parc hier soir.	Le skateur a menacé la flic au parc hier soir.	Le skateur a menacé le flic au parc hier soir.	skater;cop	la [skateuse];la [flic]	le [skateur];le [flic]
APRD;SUBJ;PLUR;REL;ANAN	Skeptics and believers alike were remarkably sociable all that day.	Les sceptiques et les croyantes étaient remarquablement sociables toute cette journée.	Les sceptiques et les croyants étaient remarquablement sociables toute cette journée.	Les sceptiques et les croyantes étaient remarquablement sociables toute cette journée.	Les sceptiques et les croyants étaient remarquablement sociables toute cette journée.	skeptics;believers	sceptiques;croyantes	sceptiques;croyants
ANAN;SUBJ;PLUR;OTH;GLNK	After a hard day on the slopes, skiers and snowboarders get together, swap tales, and start partying.	Après une dure journée sur les pistes, les skieuses et snowboardeuses se rassemblent, se racontent des histoires, et commencent à faire la fête.	Après une dure journée sur les pistes, les skieuses et snowboardeurs se rassemblent, se racontent des histoires, et commencent à faire la fête.	Après une dure journée sur les pistes, les skieurs et snowboardeuses se rassemblent, se racontent des histoires, et commencent à faire la fête.	Après une dure journée sur les pistes, les skieurs et snowboardeurs se rassemblent, se racontent des histoires, et commencent à faire la fête.	skiers;snowboarders	skieuses;snowboardeuses	skieurs;snowboardeurs
PLUR;PROF;DOBJ;ANAN;IOBJ;DFCL;IPRO	This directory is provided as a free service to the social worker who wishes to help others.	Ce répertoire est fourni comme un service gracieux à la travailleuse sociale qui désire aider les autres.	Ce répertoire est fourni comme un service gracieux à la travailleuse sociale qui désire aider les autres.	Ce répertoire est fourni comme un service gracieux au travailleur social qui désire aider les autres.	Ce répertoire est fourni comme un service gracieux au travailleur social qui désire aider les autres.	social [worker];others	à la [travailleuse] sociale;autres	au [travailleur] social;autres
SUBJ;DOBJ;FAM;ANAN;OTH	The socialite has a favorite for every daily task.	La mondaine a une préférée pour chaque tâche quotidienne.	La mondaine a un préféré pour chaque tâche quotidienne.	Le mondain a une préférée pour chaque tâche quotidienne.	Le mondain a un préféré pour chaque tâche quotidienne.	socialite;favorite	la [mondaine];une [préférée]	le [mondain];un [préféré]
SUBJ;PLUR;PROF;DOBJ;ANAN;IPRO	Some begged their dealer to buy a hybrid car.	Certaines ont supplié leur concessionnaire pour acheter une voiture hybride.	Certaines ont supplié leur concessionnaire pour acheter une voiture hybride.	Certains ont supplié leur concessionnaire pour acheter une voiture hybride.	Certains ont supplié leur concessionnaire pour acheter une voiture hybride.	some;dealer	certaines;concessionnaire	certains;concessionnaire
SUBJ;PLUR;PROF;OPRP;IPRO	Some are now making documentaries for filmmakers.	Certaines réalisent désormais des documentaires pour des cinéastes.	Certaines réalisent désormais des documentaires pour des cinéastes.	Certains réalisent désormais des documentaires pour des cinéastes.	Certains réalisent désormais des documentaires pour des cinéastes.	some;filmmakers	certaines;cinéastes	certains;cinéastes
SUBJ;PLUR;REL;ANAN;DFCL;IPRO	Some say Puritans had great importance in the history of modern democracy.	Certaines disent que les puritaines ont eu une grande importance dans l’histoire de la démocratie moderne.	Certaines disent que les puritains ont eu une grande importance dans l’histoire de la démocratie moderne.	Certains disent que les puritaines ont eu une grande importance dans l’histoire de la démocratie moderne.	Certains disent que les puritains ont eu une grande importance dans l’histoire de la démocratie moderne.	some;Puritans	certaines;puritaines	certains;puritains
SUBJ;PLUR;REL;IOBJ;AATR;IPRO	Some do not wish to speak to the theologians.	Certaines ne souhaitent pas parler aux théologiennes.	Certaines ne souhaitent pas parler aux théologiens.	Certains ne souhaitent pas parler aux théologiennes.	Certains ne souhaitent pas parler aux théologiens.	some;theologians	certaines;théologiennes	certains;théologiens
SUBJ;PLUR;OPRP;REL;IPRO	Some have decided to only hang around Buddhists.	Certaines ont décidé de ne traîner qu’avec des bouddhistes.	Certaines ont décidé de ne traîner qu’avec des bouddhistes.	Certains ont décidé de ne traîner qu’avec des bouddhistes.	Certains ont décidé de ne traîner qu’avec des bouddhistes.	some;Buddhists	certaines;bouddhistes	certains;bouddhistes
APRD;SUBJ;PLUR;OTH;OPRP;IPRO	Some are more likely to support prosecution against their abuser.	Certaines sont plus susceptibles d’appuyer la poursuite contre leur agresseuse.	Certaines sont plus susceptibles d’appuyer la poursuite contre leur agresseur.	Certains sont plus susceptibles d’appuyer la poursuite contre leur agresseuse.	Certains sont plus susceptibles d’appuyer la poursuite contre leur agresseur.	some;abuser	certaines;agresseuse	certains;agresseur
SUBJ;PLUR;OTH;OPRP;DFCL;IPRO	Some manage to get the information that is important for our students.	Certaines parviennent à obtenir les informations qui sont importantes pour nos étudiantes.	Certaines parviennent à obtenir les informations qui sont importantes pour nos étudiants.	Certains parviennent à obtenir les informations qui sont importantes pour nos étudiantes.	Certains parviennent à obtenir les informations qui sont importantes pour nos étudiants.	some;students	certaines;étudiantes	certains;étudiants
PLUR;AATR;ANAN;NAT;OPRP	An inventory of expired but authentic documents were being used to falsify passports for some Guianans and Surinamese wanting to exit the country.	Un inventaire de documents expirés mais authentiques était utilisé pour falsifier des passeports pour certaines Guyaniennes et Surinamaises souhaitant quitter le pays.	Un inventaire de documents expirés mais authentiques était utilisé pour falsifier des passeports pour certaines Guyaniennes et Surinamais souhaitant quitter le pays.	Un inventaire de documents expirés mais authentiques était utilisé pour falsifier des passeports pour certains Guyaniens et Surinamaises souhaitant quitter le pays.	Un inventaire de documents expirés mais authentiques était utilisé pour falsifier des passeports pour certains Guyaniens et Surinamais souhaitant quitter le pays.	some [Guianans];Surinamese	certaines [Guyaniennes];Surinamaises	certains [Guyaniens];Surinamais
SUBJ;PLUR;REL;ANAN;DFCL;AATR;PERS	Some schismatics also have the absurd belief that they can give the Holy Spirit through the laying on of their hands.	Certaines schismatiques ont aussi la croyance absurde qu’elles peuvent donner le Saint-Esprit par l’imposition de leurs mains.	Certaines schismatiques ont aussi la croyance absurde qu’ils peuvent donner le Saint-Esprit par l’imposition de leurs mains.	Certains schismatiques ont aussi la croyance absurde qu’elles peuvent donner le Saint-Esprit par l’imposition de leurs mains.	Certains schismatiques ont aussi la croyance absurde qu’ils peuvent donner le Saint-Esprit par l’imposition de leurs mains.	some [schismatics];they	certaines [schismatiques];elles	certains [schismatiques];ils
SUBJ;PLUR;ANAN;OTH;AATR;GLNK	At that moment, some visionaries and dreamers said that there will be a common European currency.	À ce moment-là, certaines visionnaires et rêveuses ont dit qu’il y aurait une monnaie européenne commune.	À ce moment-là, certaines visionnaires et rêveurs ont dit qu’il y aurait une monnaie européenne commune.	À ce moment-là, certains visionnaires et rêveuses ont dit qu’il y aurait une monnaie européenne commune.	À ce moment-là, certains visionnaires et rêveurs ont dit qu’il y aurait une monnaie européenne commune.	some [visionaries];dreamers	certaines [visionnaires];rêveuses	certains [visionnaires];rêveurs
SUBJ;NAT;DOBJ;IPRO	Someone made the Korean wait for a long time.	Quelqu’une a fait attendre la Coréenne pendant longtemps.	Quelqu’une a fait attendre le Coréen pendant longtemps.	Quelqu’un a fait attendre la Coréenne pendant longtemps.	Quelqu’un a fait attendre le Coréen pendant longtemps.	someone;Korean	quelqu’une;la [Coréenne]	quelqu’un;le [Coréen]
SUBJ;ANAN;NAT;IOBJ;IPRO	Someone gave the Corsican a big tip for the ride on the yacht.	Quelqu’une a donné à la Corse un gros pourboire pour la balade sur le yacht.	Quelqu’une a donné au Corse un gros pourboire pour la balade sur le yacht.	Quelqu’un a donné à la Corse un gros pourboire pour la balade sur le yacht.	Quelqu’un a donné au Corse un gros pourboire pour la balade sur le yacht.	someone;Corsican	quelqu’une;à la [Corse]	quelqu’un;au [Corse]
